value,var,paired,file,query,target,tool,type,perc,value_dbl
20000000,total_reads,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,FALSE,2e7
90.41%,total_read_accuracy,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,90.41
98.85%,unique_read_accuracy,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,98.85
1.05%,perc_reads_incorrect,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,1.05
0.0%,perc_reads_ambiguous,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,0.0
8.53%,perc_reads_unaligned,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,8.53
91.47%,perc_reads_aligned,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,91.47
13.4601%,perc_reads_true_introns,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,13.4601
2000000000,total_bases,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,FALSE,2e9
82.36%,total_bases_accuracy,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,82.36
97.12%,unique_bases_accuracy,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,97.12
2.43%,perc_bases_incorrect,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,2.43
0.0%,perc_bases_ambiguous,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,0.0
15.19%,perc_bases_unaligned,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,15.19
84.81%,perc_bases_aligned,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,84.81
0.0174%,perc_bases_insertions,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,0.0174
0.0173%,perc_bases_deletions,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,0.0173
0% (no insertions called),insertion_fd,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,NA
100.0%,insertion_fn,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,100.0
0% (no deletions called),deletion_fd,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,NA
100.0%,deletion_fn,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,100.0
0% (no skipping called),skipping_fd,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,NA
100.0%,skipping_fn,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,100.0
0% (no junctions called),junction_fd,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,NA
100.0%,junction_fn,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,TRUE,100.0
0,junction_none_n,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,FALSE,0.0
NaN,junction_none_perc,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,FALSE,NaN
0,junction_left_n,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,FALSE,0.0
NaN,junction_left_perc,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,FALSE,NaN
0,junction_right_n,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,FALSE,0.0
NaN,junction_right_perc,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,FALSE,NaN
0,junction_both_n,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,FALSE,0.0
NaN,junction_both_perc,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res.txt,statistics_AdaptersV3,human_t1r1,biokanga,single,FALSE,NaN
20000000,total_reads,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res_multi_mappers.txt,statistics_AdaptersV3,human_t1r1,biokanga,multi,FALSE,2e7
90.41%,total_read_accuracy,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res_multi_mappers.txt,statistics_AdaptersV3,human_t1r1,biokanga,multi,TRUE,90.41
98.85%,unique_read_accuracy,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res_multi_mappers.txt,statistics_AdaptersV3,human_t1r1,biokanga,multi,TRUE,98.85
1.05%,perc_reads_incorrect,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res_multi_mappers.txt,statistics_AdaptersV3,human_t1r1,biokanga,multi,TRUE,1.05
0(0.0)%,perc_reads_ambiguous,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res_multi_mappers.txt,statistics_AdaptersV3,human_t1r1,biokanga,multi,TRUE,0.0
8.53%,perc_reads_unaligned,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res_multi_mappers.txt,statistics_AdaptersV3,human_t1r1,biokanga,multi,TRUE,8.53
91.47%,perc_reads_aligned,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res_multi_mappers.txt,statistics_AdaptersV3,human_t1r1,biokanga,multi,TRUE,91.47
13.4601%,perc_reads_true_introns,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res_multi_mappers.txt,statistics_AdaptersV3,human_t1r1,biokanga,multi,TRUE,13.4601
2000000000,total_bases,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res_multi_mappers.txt,statistics_AdaptersV3,human_t1r1,biokanga,multi,FALSE,2e9
82.36%,total_bases_accuracy,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res_multi_mappers.txt,statistics_AdaptersV3,human_t1r1,biokanga,multi,TRUE,82.36
97.12%,unique_bases_accuracy,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res_multi_mappers.txt,statistics_AdaptersV3,human_t1r1,biokanga,multi,TRUE,97.12
2.43%,perc_bases_incorrect,single,statistics_AdaptersV3/human_t1r1/biokanga/comp_res_multi_mappers.txt,statistics_AdaptersV3,human_t1r1,biokanga,multi,TRUE,2.43
